,job,link
0,[키움투자자산운용] 대체투자본부 부동산운용팀 팀원 모집(경력),http://www.kofia.or.kr/brd/m_96/view.do?seq=13904&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
1,[유화증권] 팀장/책임자급 전문가 초빙,http://www.kofia.or.kr/brd/m_96/view.do?seq=13903&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
2,[브라이트투자자문] 각 부문별 채용공고(경영관리/운용인력/리서치),http://www.kofia.or.kr/brd/m_96/view.do?seq=13902&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
3,[유진투자증권] 신탁운용팀 경력직원 채용(주식형/멀티형 신탁운용),http://www.kofia.or.kr/brd/m_96/view.do?seq=13901&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
4,[카카오페이증권] IB부분 부동산금융인력 경력직 채용,http://www.kofia.or.kr/brd/m_96/view.do?seq=13900&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
5,[신한BNP파리바자산운용] 재무회계팀 채용공고 (단기 파트타이머),http://www.kofia.or.kr/brd/m_96/view.do?seq=13899&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
6,[한스프라임자산운용] 운용지원 경력직 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13898&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
7,[유화증권] 본부장급 전문가 초빙,http://www.kofia.or.kr/brd/m_96/view.do?seq=13897&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
8,[신한BNP파리바자산운용] 인프라운용센터 채용공고 (사원-대리),http://www.kofia.or.kr/brd/m_96/view.do?seq=13896&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
9,[하나대체투자자산운용] 대체자산 리서치/경영기획 경력직원 채용공고,http://www.kofia.or.kr/brd/m_96/view.do?seq=13895&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
10,[아이디어브릿지자산운용]경영지원팀 팀원 (~12.15),http://www.kofia.or.kr/brd/m_96/view.do?seq=13894&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=2
